#group         	method                   	minimum	median	mean	std_dev	maximum	count
nargs          	total_functions          	0.0	2.0	1.8	1.0	6.0	404
nargs          	total_closures           	0.0	0.0	0.1	0.5	5.0	404
nargs          	average_functions        	0.0	2.0	1.8	1.0	6.0	404
nargs          	average_closures         	0.0	0.0	0.1	0.2	1.0	404
nargs          	total                    	0.0	2.0	1.9	1.1	6.0	404
nargs          	average                  	0.0	1.0	1.7	1.0	6.0	404
nargs          	functions_min            	0.0	1.0	1.6	1.1	6.0	404
nargs          	functions_max            	0.0	2.0	1.8	1.0	6.0	404
nargs          	closures_min             	0.0	0.0	0.0	0.0	1.0	404
nargs          	closures_max             	0.0	0.0	0.1	0.3	1.0	404
nexits         	sum                      	0.0	1.0	1.7	1.7	8.0	404
nexits         	average                  	0.0	1.0	1.6	1.6	8.0	404
nexits         	min                      	0.0	1.0	1.4	1.6	8.0	404
nexits         	max                      	0.0	1.0	1.7	1.7	8.0	404
cognitive      	sum                      	0.0	0.0	0.2	0.7	7.0	404
cognitive      	average                  	0.0	0.0	0.2	0.7	7.0	404
cognitive      	min                      	0.0	0.0	0.2	0.7	7.0	404
cognitive      	max                      	0.0	0.0	0.2	0.7	7.0	404
cyclomatic     	sum                      	1.0	1.0	2.5	2.5	22.0	404
cyclomatic     	average                  	1.0	1.0	2.1	2.3	22.0	404
cyclomatic     	min                      	1.0	1.0	2.0	2.3	22.0	404
cyclomatic     	max                      	1.0	1.0	2.2	2.3	22.0	404
halstead       	n1                       	1.0	10.0	10.7	4.1	23.0	404
halstead       	N1                       	2.0	17.0	26.5	23.0	151.0	404
halstead       	n2                       	2.0	5.0	7.3	6.4	48.0	404
halstead       	N2                       	2.0	8.0	12.0	11.7	88.0	404
halstead       	length                   	4.0	25.0	38.6	34.0	228.0	404
halstead       	estimated_program_length 	2.0	46.1	62.2	47.9	301.3	404
halstead       	purity_ratio             	0.5	1.7	1.8	0.4	2.8	404
halstead       	vocabulary               	3.0	15.0	18.0	9.9	58.0	404
halstead       	volume                   	6.3	99.9	175.8	184.6	1280.2	404
halstead       	difficulty               	0.5	7.7	8.7	4.3	24.8	404
halstead       	level                    	0.0	0.1	0.2	0.1	2.0	404
halstead       	effort                   	3.2	691.9	2187.9	3197.0	26183.1	404
halstead       	time                     	0.2	38.4	121.6	177.6	1454.6	404
halstead       	bugs                     	0.0	0.0	0.0	0.0	0.3	404
loc            	sloc                     	1.0	4.0	7.5	6.6	43.0	404
loc            	ploc                     	1.0	4.0	7.4	6.4	42.0	404
loc            	lloc                     	0.0	0.0	1.5	2.4	16.0	404
loc            	cloc                     	0.0	0.0	0.0	0.4	8.0	404
loc            	blank                    	0.0	0.0	0.0	0.3	4.0	404
loc            	sloc_average             	1.0	3.0	6.5	5.6	43.0	404
loc            	ploc_average             	1.0	3.0	6.5	5.4	42.0	404
loc            	lloc_average             	0.0	0.0	1.3	2.3	16.0	404
loc            	cloc_average             	0.0	0.0	0.0	0.4	8.0	404
loc            	blank_average            	0.0	0.0	0.0	0.3	4.0	404
loc            	sloc_min                 	1.0	3.0	6.1	5.7	43.0	404
loc            	sloc_max                 	1.0	3.0	6.2	5.7	43.0	404
loc            	cloc_min                 	0.0	0.0	0.0	0.4	8.0	404
loc            	cloc_max                 	0.0	0.0	0.0	0.4	8.0	404
loc            	ploc_min                 	1.0	3.0	6.0	5.5	42.0	404
loc            	ploc_max                 	1.0	3.0	6.1	5.5	42.0	404
loc            	lloc_min                 	0.0	0.0	1.2	2.3	16.0	404
loc            	lloc_max                 	0.0	0.0	1.2	2.3	16.0	404
loc            	blank_min                	0.0	0.0	0.0	0.3	4.0	404
loc            	blank_max                	0.0	0.0	0.0	0.3	4.0	404
nom            	functions                	0.0	1.0	1.0	0.1	1.0	404
nom            	closures                 	0.0	0.0	0.2	0.6	5.0	404
nom            	functions_average        	0.0	1.0	0.9	0.2	1.0	404
nom            	closures_average         	0.0	0.0	0.1	0.2	1.0	404
nom            	total                    	1.0	1.0	1.2	0.6	6.0	404
nom            	average                  	1.0	1.0	1.0	0.0	1.0	404
nom            	functions_min            	0.0	1.0	0.9	0.3	1.0	404
nom            	functions_max            	0.0	1.0	1.0	0.1	1.0	404
nom            	closures_min             	0.0	0.0	0.0	0.1	1.0	404
nom            	closures_max             	0.0	0.0	0.1	0.3	1.0	404
mi             	mi_original              	71.5	126.3	118.4	17.3	161.2	404
mi             	mi_sei                   	38.9	106.7	95.9	24.0	156.9	404
mi             	mi_visual_studio         	41.8	73.9	69.2	10.1	94.2	404
abc            	assignments              	0.0	0.0	0.0	0.0	0.0	404
abc            	branches                 	0.0	0.0	0.0	0.0	0.0	404
abc            	conditions               	0.0	0.0	0.0	0.0	0.0	404
abc            	magnitude                	0.0	0.0	0.0	0.0	0.0	404
abc            	assignments_average      	0.0	0.0	0.0	0.0	0.0	404
abc            	branches_average         	0.0	0.0	0.0	0.0	0.0	404
abc            	conditions_average       	0.0	0.0	0.0	0.0	0.0	404
abc            	assignments_min          	0.0	0.0	0.0	0.0	0.0	404
abc            	assignments_max          	0.0	0.0	0.0	0.0	0.0	404
abc            	branches_min             	0.0	0.0	0.0	0.0	0.0	404
abc            	branches_max             	0.0	0.0	0.0	0.0	0.0	404
abc            	conditions_min           	0.0	0.0	0.0	0.0	0.0	404
abc            	conditions_max           	0.0	0.0	0.0	0.0	0.0	404
