#group         	method                   	minimum	median	mean	std_dev	maximum	count
nargs          	total_functions          	0.0	2.0	1.8	1.0	6.0	409
nargs          	total_closures           	0.0	0.0	0.1	0.5	5.0	409
nargs          	average_functions        	0.0	2.0	1.8	1.0	6.0	409
nargs          	average_closures         	0.0	0.0	0.1	0.2	1.0	409
nargs          	total                    	0.0	2.0	1.9	1.1	6.0	409
nargs          	average                  	0.0	1.0	1.7	1.0	6.0	409
nargs          	functions_min            	0.0	1.0	1.6	1.1	6.0	409
nargs          	functions_max            	0.0	2.0	1.8	1.0	6.0	409
nargs          	closures_min             	0.0	0.0	0.0	0.0	0.0	409
nargs          	closures_max             	0.0	0.0	0.1	0.3	1.0	409
nexits         	sum                      	0.0	1.0	1.7	1.5	8.0	409
nexits         	average                  	0.0	1.0	1.5	1.5	8.0	409
nexits         	min                      	0.0	1.0	1.4	1.5	8.0	409
nexits         	max                      	0.0	1.0	1.6	1.5	8.0	409
cognitive      	sum                      	0.0	0.0	0.3	1.0	12.0	409
cognitive      	average                  	0.0	0.0	0.3	1.0	12.0	409
cognitive      	min                      	0.0	0.0	0.3	1.0	12.0	409
cognitive      	max                      	0.0	0.0	0.3	1.0	12.0	409
cyclomatic     	sum                      	1.0	1.0	2.4	2.6	22.0	409
cyclomatic     	average                  	1.0	1.0	2.1	2.4	22.0	409
cyclomatic     	min                      	1.0	1.0	2.0	2.4	22.0	409
cyclomatic     	max                      	1.0	1.0	2.2	2.4	22.0	409
halstead       	n1                       	4.0	10.0	10.8	4.0	23.0	409
halstead       	N1                       	4.0	17.0	26.4	23.1	152.0	409
halstead       	n2                       	2.0	5.0	7.2	6.2	48.0	409
halstead       	N2                       	3.0	8.0	12.0	11.7	88.0	409
halstead       	length                   	7.0	25.0	38.4	34.1	228.0	409
halstead       	estimated_program_length 	12.8	46.1	62.1	46.4	301.3	409
halstead       	purity_ratio             	0.7	1.8	1.8	0.4	2.8	409
halstead       	vocabulary               	7.0	15.0	18.1	9.6	58.0	409
halstead       	volume                   	19.7	100.1	174.7	184.4	1280.2	409
halstead       	difficulty               	2.0	7.7	8.9	4.5	31.5	409
halstead       	level                    	0.0	0.1	0.1	0.1	0.5	409
halstead       	effort                   	39.3	692.1	2245.4	3639.1	33333.1	409
halstead       	time                     	2.2	38.4	124.7	202.2	1851.8	409
halstead       	bugs                     	0.0	0.0	0.0	0.0	0.3	409
loc            	sloc                     	3.0	4.0	7.5	6.7	46.0	409
loc            	ploc                     	3.0	4.0	7.5	6.6	45.0	409
loc            	lloc                     	0.0	0.0	1.5	3.0	33.0	409
loc            	cloc                     	0.0	0.0	0.1	0.3	3.0	409
loc            	blank                    	0.0	0.0	0.0	0.2	3.0	409
loc            	sloc_average             	1.5	3.0	6.6	5.9	46.0	409
loc            	ploc_average             	1.5	3.0	6.5	5.8	45.0	409
loc            	lloc_average             	0.0	0.0	1.4	2.9	33.0	409
loc            	cloc_average             	0.0	0.0	0.0	0.3	3.0	409
loc            	blank_average            	0.0	0.0	0.0	0.2	3.0	409
loc            	sloc_min                 	1.0	3.0	6.2	6.0	46.0	409
loc            	sloc_max                 	1.0	3.0	6.3	6.0	46.0	409
loc            	cloc_min                 	0.0	0.0	0.0	0.3	3.0	409
loc            	cloc_max                 	0.0	0.0	0.0	0.3	3.0	409
loc            	ploc_min                 	1.0	3.0	6.1	5.9	45.0	409
loc            	ploc_max                 	1.0	3.0	6.2	5.8	45.0	409
loc            	lloc_min                 	0.0	0.0	1.3	2.9	33.0	409
loc            	lloc_max                 	0.0	0.0	1.3	2.9	33.0	409
loc            	blank_min                	0.0	0.0	0.0	0.2	3.0	409
loc            	blank_max                	0.0	0.0	0.0	0.2	3.0	409
nom            	functions                	1.0	1.0	1.0	0.0	1.0	409
nom            	closures                 	0.0	0.0	0.2	0.6	5.0	409
nom            	functions_average        	0.2	1.0	0.9	0.2	1.0	409
nom            	closures_average         	0.0	0.0	0.1	0.2	0.8	409
nom            	total                    	1.0	1.0	1.2	0.6	6.0	409
nom            	average                  	1.0	1.0	1.0	0.0	1.0	409
nom            	functions_min            	0.0	1.0	0.9	0.3	1.0	409
nom            	functions_max            	1.0	1.0	1.0	0.0	1.0	409
nom            	closures_min             	0.0	0.0	0.0	0.0	0.0	409
nom            	closures_max             	0.0	0.0	0.1	0.3	1.0	409
mi             	mi_original              	68.2	125.9	118.2	16.9	137.5	409
mi             	mi_sei                   	36.0	106.1	95.8	23.2	122.8	409
mi             	mi_visual_studio         	39.9	73.6	69.1	9.9	80.4	409
abc            	assignments              	0.0	0.0	0.0	0.0	0.0	409
abc            	branches                 	0.0	0.0	0.0	0.0	0.0	409
abc            	conditions               	0.0	0.0	0.0	0.0	0.0	409
abc            	magnitude                	0.0	0.0	0.0	0.0	0.0	409
abc            	assignments_average      	0.0	0.0	0.0	0.0	0.0	409
abc            	branches_average         	0.0	0.0	0.0	0.0	0.0	409
abc            	conditions_average       	0.0	0.0	0.0	0.0	0.0	409
abc            	assignments_min          	0.0	0.0	0.0	0.0	0.0	409
abc            	assignments_max          	0.0	0.0	0.0	0.0	0.0	409
abc            	branches_min             	0.0	0.0	0.0	0.0	0.0	409
abc            	branches_max             	0.0	0.0	0.0	0.0	0.0	409
abc            	conditions_min           	0.0	0.0	0.0	0.0	0.0	409
abc            	conditions_max           	0.0	0.0	0.0	0.0	0.0	409
